"","coef","se","pval","country","formula","capital","dgvm","iso3"
"log(temp + 1)48",0.18462231978894,0.0419524436781624,3.22190261907574e-05,"AZ","log","mN","lpj","AZE"
"log(temp + 1)49",0.0122363459139563,0.0403809144760955,0.762639754658963,"AZ","log","nN","lpj","AZE"
"log(temp + 1)50",-0.0248334400074335,0.0201468927396521,0.231339929866936,"AZ","log","mN","orc","AZE"
"log(temp + 1)51",-0.0147564566928489,0.0174789332451851,0.408049032779593,"AZ","log","nN","orc","AZE"
"log(temp + 1)52",-0.0972689649676088,0.0252208312766592,0.000323827761290526,"AZ","log","mN","car","AZE"
"log(temp + 1)53",-0.0950436019772069,0.0445013208025855,0.0375228729375622,"AZ","log","nN","car","AZE"
"log(temp + 1)54",0.122127903650263,0.0331908696830661,0.000310345099999794,"AZ","log","mN","all","AZE"
"log(temp + 1)55",-0.0191206180851811,0.0269361010354843,0.478735959100477,"AZ","log","nN","all","AZE"
"temp48",0.0838193921440565,0.0140147708105611,5.56270594933009e-08,"AZ","lin","mN","lpj","AZE"
"temp49",-0.00961706440779191,0.0144596401343124,0.507854749364727,"AZ","lin","nN","lpj","AZE"
"temp50",-0.00794303938973149,0.010123044955861,0.441421456210026,"AZ","lin","mN","orc","AZE"
"temp51",-0.003489653227698,0.00872773814007147,0.693316014251404,"AZ","lin","nN","orc","AZE"
"temp52",-0.0460353139172885,0.0112911418535692,0.0001599660025886,"AZ","lin","mN","car","AZE"
"temp53",-0.0462858436805396,0.0201225638052052,0.0255625395886846,"AZ","lin","nN","car","AZE"
"temp54",0.0706995396800175,0.0122962974593105,3.87649971026845e-08,"AZ","lin","mN","all","AZE"
"temp55",-0.0134588390547775,0.0104127566480646,0.197866706461154,"AZ","lin","nN","all","AZE"
"I(temp^2)56",-0.0184464058397946,0.00137192054989853,1.92870958500358e-22,"BA","sq","mN","lpj","BIH"
"I(temp^2)57",-0.017671823278791,0.00136390975837065,1.5387551038786e-21,"BA","sq","nN","lpj","BIH"
"I(temp^2)58",-0.0127149868950283,0.00295808109258515,0.000318316045127141,"BA","sq","mN","orc","BIH"
"I(temp^2)59",-0.0125158410632336,0.00296119713487779,0.000377927354970667,"BA","sq","nN","orc","BIH"
"I(temp^2)60",-0.0424183261541057,0.00794914735666544,2.19992482882863e-06,"BA","sq","mN","car","BIH"
"I(temp^2)61",-0.045199696754259,0.00852562596098632,2.48565023655192e-06,"BA","sq","nN","car","BIH"
"I(temp^2)62",-0.0198659279171653,0.00219595558944602,2.68415931825048e-16,"BA","sq","mN","all","BIH"
"I(temp^2)63",-0.0194178196625827,0.00255737001052071,1.76319059589882e-12,"BA","sq","nN","all","BIH"
"log(temp + 1)56",-0.142663390213489,0.0279056746730875,2.04500256008749e-06,"BA","log","mN","lpj","BIH"
"log(temp + 1)57",-0.131527428386254,0.0269596486326382,5.17069968034051e-06,"BA","log","nN","lpj","BIH"
"log(temp + 1)58",-0.0425231612719879,0.0193144535858216,0.0390095118916635,"BA","log","mN","orc","BIH"
"log(temp + 1)59",-0.0412875930391646,0.0191695961412681,0.0430250779341652,"BA","log","nN","orc","BIH"
"log(temp + 1)60",-0.180278688190994,0.0595513802419204,0.0038633488001749,"BA","log","mN","car","BIH"
"log(temp + 1)61",-0.194742092236551,0.0638305297222128,0.00361552759509064,"BA","log","nN","car","BIH"
