year,countrycode,intensity
2291,ABW,2.2096394879080797e-8
2292,ABW,2.2096394879080797e-8
2293,ABW,2.2096394879080797e-8
2294,ABW,2.2096394879080797e-8
2295,ABW,2.2096394879080797e-8
2296,ABW,2.2096394879080797e-8
2297,ABW,2.2096394879080797e-8
2298,ABW,2.2096394879080797e-8
2299,ABW,2.2096394879080797e-8
2300,ABW,2.2096394879080797e-8
2020,AFG,1.876515003942774e-7
2021,AFG,1.846048357216705e-7
2022,AFG,1.8160722794926725e-7
2023,AFG,1.7865789385170623e-7
2024,AFG,1.7575606259979987e-7
2025,AFG,1.729009755660882e-7
2026,AFG,1.7009188613341412e-7
2027,AFG,1.6732805950647494e-7
2028,AFG,1.6460877252630324e-7
2029,AFG,1.6193331348763265e-7
2030,AFG,1.5930098195910379e-7
2031,AFG,1.567110886062667e-7
2032,AFG,1.5416295501733672e-7
2033,AFG,1.516559135316614e-7
2034,AFG,1.4918930707085627e-7
2035,AFG,1.4676248897256924e-7
2036,AFG,1.443748228268319e-7
2037,AFG,1.4202568231495905e-7
2038,AFG,1.39714451050956e-7
2039,AFG,1.3744052242539597e-7
2040,AFG,1.3520329945172894e-7
2041,AFG,1.3300219461498438e-7
2042,AFG,1.3083662972283124e-7
2043,AFG,1.2870603575895874e-7
2044,AFG,1.2660985273874173e-7
2045,AFG,1.2454752956715613e-7
2046,AFG,1.2251852389890893e-7
2047,AFG,1.2052230200074897e-7
2048,AFG,1.1855833861592487e-7
2049,AFG,1.1662611683075657e-7
2050,AFG,1.1472512794328821e-7
2051,AFG,1.1285487133399008e-7
2052,AFG,1.1101485433847776e-7
2053,AFG,1.0920459212221765e-7
2054,AFG,1.0742360755718779e-7
2055,AFG,1.0567143110046405e-7
2056,AFG,1.0394760067470176e-7
2057,AFG,1.0225166155048345e-7
2058,AFG,1.00583166230504e-7
2059,AFG,9.894167433556449e-8
2060,AFG,9.732675249234705e-8
2061,AFG,9.573797422294306e-8
2062,AFG,9.417491983610743e-8
2063,AFG,9.263717632021235e-8
2064,AFG,9.112433723787426e-8
2065,AFG,8.963600262222808e-8
2066,AFG,8.817177887482303e-8
2067,AFG,8.673127866511519e-8
2068,AFG,8.531412083153193e-8
2069,AFG,8.39199302840838e-8
2070,AFG,8.25483379085e-8
2071,AFG,8.119898047186381e-8
2072,AFG,7.987150052972463e-8
2073,AFG,7.856554633466383e-8
2074,AFG,7.728077174629195e-8
2075,AFG,7.601683614265475e-8
2076,AFG,7.477340433302663e-8
2077,AFG,7.355014647206963e-8
2078,AFG,7.234673797533695e-8
2079,AFG,7.11628594361001e-8
2080,AFG,6.999819654347913e-8
2081,AFG,6.885244000185565e-8
2082,AFG,6.772528545154893e-8
2083,AFG,6.661643339073519e-8
2084,AFG,6.5525589098591e-8
2085,AFG,6.445246255964164e-8
2086,AFG,6.339676838929583e-8
2087,AFG,6.235822576054819e-8
2088,AFG,6.13365583318316e-8
2089,AFG,6.033149417600129e-8
2090,AFG,5.9342765710433114e-8
2091,AFG,5.837010962821899e-8
2092,AFG,5.741326683044203e-8
2093,AFG,5.6471982359514835e-8
2094,AFG,5.554600533356428e-8
2095,AFG,5.463508888184672e-8
2096,AFG,5.3738990081177274e-8
2097,AFG,5.2857469893357744e-8
2098,AFG,5.199029310358726e-8
2099,AFG,5.1137228259840786e-8
2100,AFG,5.029804761320004e-8
2101,AFG,4.947252705912219e-8
2102,AFG,4.866044607963175e-8
2103,AFG,4.786158768642111e-8
2104,AFG,4.707573836484582e-8
2105,AFG,4.630268801880043e-8
2106,AFG,4.5542229916461394e-8
2107,AFG,4.4794160636883254e-8
2108,AFG,4.405828001743514e-8
2109,AFG,4.333439110206415e-8
2110,AFG,4.2622300090373074e-8
2111,AFG,4.192181628749936e-8
2112,AFG,4.123275205478319e-8
2113,AFG,4.055492276121217e-8
2114,AFG,3.988814673563054e-8
2115,AFG,3.923224521970099e-8
2116,AFG,3.858704232160742e-8
2117,AFG,3.795236497048685e-8
2118,AFG,3.732804287157944e-8
2119,AFG,3.671390846208509e-8
2120,AFG,3.610979686771575e-8
2121,AFG,3.55155458599326e-8
2122,AFG,3.493099581385729e-8
2123,AFG,3.4355989666846805e-8
2124,AFG,3.379037287772155e-8
2125,AFG,3.3233993386636453e-8
2126,AFG,3.268670157558502e-8
2127,AFG,3.214835022952653e-8
2128,AFG,3.1618794498126485e-8
2129,AFG,3.109789185810086e-8
2130,AFG,3.058550207615468e-8
2131,AFG,3.0081487172505535e-8
2132,AFG,2.958571138498306e-8
2133,AFG,2.9098041133695184e-8
2134,AFG,2.8618344986252436e-8
2135,AFG,2.8146493623541436e-8
2136,AFG,2.76823598060391e-8
2137,AFG,2.722581834065905e-8
2138,AFG,2.6776746048121838e-8
2139,AFG,2.633502173084087e-8
2140,AFG,2.5900526141315896e-8
2141,AFG,2.54731419510262e-8
2142,AFG,2.5052753719815487e-8
2143,AFG,2.4639247865761014e-8
2144,AFG,2.423251263551911e-8
2145,AFG,2.3832438075139855e-8
2146,AFG,2.3438916001343413e-8
2147,AFG,2.3051839973250817e-8
2148,AFG,2.267110526456214e-8
2149,AFG,2.2296608836174926e-8
2150,AFG,2.192824930923611e-8
2151,AFG,2.156592693862052e-8
2152,AFG,2.120954358682929e-8
2153,AFG,2.0859002698301647e-8
2154,AFG,2.0514209274133556e-8
2155,AFG,2.017506984719679e-8
2156,AFG,1.9841492457652226e-8
2157,AFG,1.9513386628851095e-8
2158,AFG,1.9190663343618176e-8
2159,AFG,1.8873235020910853e-8
2160,AFG,1.856101549284821e-8
2161,AFG,1.8253919982104265e-8
2162,AFG,1.795186507965973e-8
2163,AFG,1.7654768722906546e-8
2164,AFG,1.7362550174099754e-8
2165,AFG,1.7075129999151158e-8
2166,AFG,1.6792430046759462e-8
2167,AFG,1.651437342787158e-8
2168,AFG,1.624088449546989e-8
2169,AFG,1.5971888824680323e-8
2170,AFG,1.5707313193196238e-8
2171,AFG,1.5447085562013123e-8
2172,AFG,1.5191135056469205e-8
2173,AFG,1.493939194758719e-8
2174,AFG,1.4691787633712373e-8
2175,AFG,1.444825462244244e-8
2176,AFG,1.420872651284441e-8
2177,AFG,1.3973137977954159e-8
2178,AFG,1.3741424747554076e-8
2179,AFG,1.3513523591224518e-8
2180,AFG,1.3289372301664675e-8
